Epoch 1, Loss: 0.003351, Test Loss: 0.011142, Training time: 0.98m
Epoch 79, Loss: 0.000037, Test Loss: 0.003570, Training time: 0.73m
Epoch 80, Loss: 0.000039, Test Loss: 0.013468, Training time: 0.73m
Epoch 81, Loss: 0.000039, Test Loss: 0.001542, Training time: 0.73m
Epoch 82, Loss: 0.000085, Test Loss: 0.000491, Training time: 0.73m
Epoch 83, Loss: 0.000057, Test Loss: 0.000509, Training time: 0.73m
Epoch 84, Loss: 0.000049, Test Loss: 0.000607, Training time: 0.73m
Epoch 85, Loss: 0.000047, Test Loss: 0.000246, Training time: 0.73m
Epoch 86, Loss: 0.000042, Test Loss: 0.000290, Training time: 0.73m
Epoch 87, Loss: 0.000042, Test Loss: 0.000485, Training time: 0.73m
Epoch 88, Loss: 0.000047, Test Loss: 0.001586, Training time: 0.73m
Epoch 89, Loss: 0.000045, Test Loss: 0.000654, Training time: 0.74m
Epoch 90, Loss: 0.000042, Test Loss: 0.000479, Training time: 0.73m
Epoch 91, Loss: 0.000037, Test Loss: 0.000728, Training time: 0.73m
Epoch 92, Loss: 0.000035, Test Loss: 0.000626, Training time: 0.73m
Epoch 93, Loss: 0.000032, Test Loss: 0.000381, Training time: 0.73m
Epoch 94, Loss: 0.000038, Test Loss: 0.001020, Training time: 0.73m
Epoch 95, Loss: 0.000037, Test Loss: 0.001158, Training time: 0.73m
Epoch 96, Loss: 0.000034, Test Loss: 0.000671, Training time: 0.73m
Epoch 97, Loss: 0.000034, Test Loss: 0.000324, Training time: 0.73m
Epoch 98, Loss: 0.000032, Test Loss: 0.000697, Training time: 0.73m
Epoch 99, Loss: 0.000037, Test Loss: 0.002242, Training time: 0.73m
Epoch 100, Loss: 0.000037, Test Loss: 0.000403, Training time: 0.73m
Epoch 101, Loss: 0.000034, Test Loss: 0.000271, Training time: 0.73m
Epoch 102, Loss: 0.000032, Test Loss: 0.002709, Training time: 0.73m
Epoch 103, Loss: 0.000032, Test Loss: 0.000349, Training time: 0.73m
Epoch 104, Loss: 0.000031, Test Loss: 0.000838, Training time: 0.73m
Epoch 105, Loss: 0.000036, Test Loss: 0.001404, Training time: 0.73m
Epoch 106, Loss: 0.000034, Test Loss: 0.000389, Training time: 0.73m
Epoch 107, Loss: 0.000034, Test Loss: 0.080495, Training time: 0.73m
Epoch 108, Loss: 0.000036, Test Loss: 0.000543, Training time: 0.73m
Epoch 109, Loss: 0.000031, Test Loss: 0.000490, Training time: 0.73m
Epoch 110, Loss: 0.000032, Test Loss: 0.000660, Training time: 0.73m
Epoch 111, Loss: 0.000030, Test Loss: 0.000427, Training time: 0.73m
Epoch 112, Loss: 0.000027, Test Loss: 0.000464, Training time: 0.73m
Epoch 113, Loss: 0.000030, Test Loss: 0.000410, Training time: 0.73m
Epoch 114, Loss: 0.000030, Test Loss: 0.000992, Training time: 0.73m
Epoch 115, Loss: 0.000028, Test Loss: 0.000416, Training time: 0.73m
Epoch 116, Loss: 0.000030, Test Loss: 0.000955, Training time: 0.73m
Epoch 117, Loss: 0.000028, Test Loss: 0.003976, Training time: 0.73m
Epoch 118, Loss: 0.000030, Test Loss: 0.000462, Training time: 0.73m
Epoch 119, Loss: 0.000030, Test Loss: 0.000429, Training time: 0.73m
Epoch 120, Loss: 0.000027, Test Loss: 0.000276, Training time: 0.73m
Epoch 121, Loss: 0.000027, Test Loss: 0.002060, Training time: 0.74m
Epoch 122, Loss: 0.000029, Test Loss: 0.002145, Training time: 0.74m
Epoch 123, Loss: 0.000035, Test Loss: 0.004010, Training time: 0.74m
Epoch 124, Loss: 0.000028, Test Loss: 0.000518, Training time: 0.74m
Epoch 125, Loss: 0.000023, Test Loss: 0.000494, Training time: 0.74m
Epoch 126, Loss: 0.000025, Test Loss: 0.000316, Training time: 0.74m
Epoch 127, Loss: 0.000024, Test Loss: 0.000438, Training time: 0.74m
Epoch 128, Loss: 0.000027, Test Loss: 0.001914, Training time: 0.74m
Epoch 129, Loss: 0.000025, Test Loss: 0.000331, Training time: 0.74m
Epoch 130, Loss: 0.000022, Test Loss: 0.000406, Training time: 0.74m
Epoch 131, Loss: 0.000025, Test Loss: 0.000699, Training time: 0.74m
Epoch 132, Loss: 0.000025, Test Loss: 0.000458, Training time: 0.74m
Epoch 133, Loss: 0.000023, Test Loss: 0.000314, Training time: 0.74m
Epoch 134, Loss: 0.000026, Test Loss: 0.003135, Training time: 0.74m
Epoch 135, Loss: 0.000024, Test Loss: 0.000421, Training time: 0.74m
Epoch 136, Loss: 0.000022, Test Loss: 0.000304, Training time: 0.73m
Epoch 137, Loss: 0.000024, Test Loss: 0.000436, Training time: 0.73m
Epoch 138, Loss: 0.000026, Test Loss: 0.002116, Training time: 0.73m
Epoch 139, Loss: 0.000021, Test Loss: 0.000387, Training time: 0.73m
Epoch 140, Loss: 0.000021, Test Loss: 0.000462, Training time: 0.73m
Epoch 141, Loss: 0.000025, Test Loss: 0.000580, Training time: 0.73m
Epoch 142, Loss: 0.000024, Test Loss: 0.001075, Training time: 0.73m
Epoch 143, Loss: 0.000027, Test Loss: 0.019638, Training time: 0.73m
Epoch 144, Loss: 0.000022, Test Loss: 0.000389, Training time: 0.74m
Epoch 145, Loss: 0.000025, Test Loss: 0.002439, Training time: 0.74m
Epoch 146, Loss: 0.000026, Test Loss: 0.000293, Training time: 0.74m
Epoch 147, Loss: 0.000021, Test Loss: 0.000480, Training time: 0.74m
Epoch 148, Loss: 0.000024, Test Loss: 0.000342, Training time: 0.74m
Epoch 149, Loss: 0.000020, Test Loss: 0.000367, Training time: 0.74m
Epoch 150, Loss: 0.000022, Test Loss: 0.000706, Training time: 0.74m
Epoch 151, Loss: 0.000021, Test Loss: 0.000769, Training time: 0.74m
Epoch 152, Loss: 0.000021, Test Loss: 0.000532, Training time: 0.74m
Epoch 153, Loss: 0.000022, Test Loss: 0.003190, Training time: 0.74m
Epoch 154, Loss: 0.000021, Test Loss: 0.002020, Training time: 0.74m
Epoch 155, Loss: 0.000023, Test Loss: 0.002596, Training time: 0.74m
Epoch 156, Loss: 0.000026, Test Loss: 0.000374, Training time: 0.74m
Epoch 157, Loss: 0.000025, Test Loss: 0.000541, Training time: 0.74m
Epoch 158, Loss: 0.000019, Test Loss: 0.003381, Training time: 0.74m
Epoch 159, Loss: 0.000024, Test Loss: 0.000417, Training time: 0.74m
Epoch 160, Loss: 0.000018, Test Loss: 0.000396, Training time: 0.74m
Epoch 161, Loss: 0.000019, Test Loss: 0.000310, Training time: 0.74m
Epoch 162, Loss: 0.000021, Test Loss: 0.000441, Training time: 0.73m
Epoch 163, Loss: 0.000021, Test Loss: 0.002779, Training time: 0.73m
Epoch 164, Loss: 0.000026, Test Loss: 0.000334, Training time: 0.73m
Epoch 165, Loss: 0.000022, Test Loss: 0.000362, Training time: 0.73m
Epoch 166, Loss: 0.000021, Test Loss: 0.001113, Training time: 0.73m
Epoch 167, Loss: 0.000019, Test Loss: 0.000359, Training time: 0.73m
Epoch 168, Loss: 0.000018, Test Loss: 0.000493, Training time: 0.73m
Epoch 169, Loss: 0.000019, Test Loss: 0.001132, Training time: 0.73m
Epoch 170, Loss: 0.000019, Test Loss: 0.000410, Training time: 0.73m
Epoch 171, Loss: 0.000021, Test Loss: 0.000322, Training time: 0.73m
Epoch 172, Loss: 0.000018, Test Loss: 0.000416, Training time: 0.74m
Epoch 173, Loss: 0.000023, Test Loss: 0.012363, Training time: 0.73m
Epoch 174, Loss: 0.000043, Test Loss: 0.000373, Training time: 0.73m
Epoch 175, Loss: 0.000016, Test Loss: 0.000413, Training time: 0.73m
Epoch 176, Loss: 0.000018, Test Loss: 0.000456, Training time: 0.73m
Epoch 177, Loss: 0.000017, Test Loss: 0.000856, Training time: 0.73m
Epoch 178, Loss: 0.000021, Test Loss: 0.000457, Training time: 0.74m
Epoch 179, Loss: 0.000019, Test Loss: 0.000426, Training time: 0.74m
Epoch 180, Loss: 0.000017, Test Loss: 0.000724, Training time: 0.74m
Epoch 181, Loss: 0.000018, Test Loss: 0.000489, Training time: 0.74m
Epoch 182, Loss: 0.000021, Test Loss: 0.000991, Training time: 0.74m
Epoch 183, Loss: 0.000019, Test Loss: 0.000364, Training time: 0.74m
Epoch 184, Loss: 0.000020, Test Loss: 0.001211, Training time: 0.74m
Epoch 185, Loss: 0.000017, Test Loss: 0.000478, Training time: 0.74m
Epoch 186, Loss: 0.000024, Test Loss: 0.000739, Training time: 0.74m
Epoch 187, Loss: 0.000018, Test Loss: 0.000554, Training time: 0.74m
Epoch 188, Loss: 0.000017, Test Loss: 0.000333, Training time: 0.74m
Epoch 189, Loss: 0.000016, Test Loss: 0.000339, Training time: 0.74m
Epoch 190, Loss: 0.000020, Test Loss: 0.000581, Training time: 0.74m
Epoch 191, Loss: 0.000019, Test Loss: 0.000380, Training time: 0.74m
Epoch 192, Loss: 0.000018, Test Loss: 0.000336, Training time: 0.73m
Epoch 193, Loss: 0.000018, Test Loss: 0.001859, Training time: 0.73m
Epoch 194, Loss: 0.000019, Test Loss: 0.000587, Training time: 0.73m
Epoch 195, Loss: 0.000016, Test Loss: 0.001103, Training time: 0.73m
Epoch 196, Loss: 0.000017, Test Loss: 0.000446, Training time: 0.73m
Epoch 197, Loss: 0.000017, Test Loss: 0.000392, Training time: 0.73m
Epoch 198, Loss: 0.000020, Test Loss: 0.002136, Training time: 0.73m
Epoch 199, Loss: 0.000017, Test Loss: 0.000383, Training time: 0.73m
Epoch 200, Loss: 0.000018, Test Loss: 0.000468, Training time: 0.74m
Epoch 201, Loss: 0.000016, Test Loss: 0.000478, Training time: 0.74m
Epoch 202, Loss: 0.000017, Test Loss: 0.000488, Training time: 0.74m
Epoch 203, Loss: 0.000020, Test Loss: 0.000515, Training time: 0.74m
Epoch 204, Loss: 0.000015, Test Loss: 0.000370, Training time: 0.74m
Epoch 205, Loss: 0.000016, Test Loss: 0.000394, Training time: 0.74m
Epoch 206, Loss: 0.000017, Test Loss: 0.000413, Training time: 0.74m
Epoch 207, Loss: 0.000017, Test Loss: 0.000377, Training time: 0.74m
Epoch 208, Loss: 0.000015, Test Loss: 0.000659, Training time: 0.74m
Epoch 209, Loss: 0.000018, Test Loss: 0.000395, Training time: 0.74m
Epoch 210, Loss: 0.000017, Test Loss: 0.000336, Training time: 0.74m
Epoch 211, Loss: 0.000025, Test Loss: 0.000474, Training time: 0.74m
Epoch 212, Loss: 0.000016, Test Loss: 0.000214, Training time: 0.74m
Epoch 213, Loss: 0.000018, Test Loss: 0.000601, Training time: 0.74m
Epoch 214, Loss: 0.000016, Test Loss: 0.000487, Training time: 0.74m
Epoch 215, Loss: 0.000015, Test Loss: 0.000514, Training time: 0.74m
Epoch 216, Loss: 0.000016, Test Loss: 0.000414, Training time: 0.74m
Epoch 217, Loss: 0.000021, Test Loss: 0.001784, Training time: 0.74m
Epoch 218, Loss: 0.000027, Test Loss: 0.000465, Training time: 0.74m
Epoch 219, Loss: 0.000018, Test Loss: 0.000376, Training time: 0.73m
Epoch 220, Loss: 0.000014, Test Loss: 0.000379, Training time: 0.73m
Epoch 221, Loss: 0.000018, Test Loss: 0.000402, Training time: 0.73m
Epoch 222, Loss: 0.000015, Test Loss: 0.001295, Training time: 0.73m
Epoch 223, Loss: 0.000015, Test Loss: 0.001320, Training time: 0.73m
Epoch 224, Loss: 0.000016, Test Loss: 0.000495, Training time: 0.74m
Epoch 225, Loss: 0.000017, Test Loss: 0.000509, Training time: 0.74m
Epoch 226, Loss: 0.000015, Test Loss: 0.000373, Training time: 0.73m
Epoch 227, Loss: 0.000014, Test Loss: 0.000711, Training time: 0.74m
Epoch 228, Loss: 0.000015, Test Loss: 0.004042, Training time: 0.74m
Epoch 229, Loss: 0.000015, Test Loss: 0.000444, Training time: 0.74m
Epoch 230, Loss: 0.000016, Test Loss: 0.003378, Training time: 0.74m
Epoch 231, Loss: 0.000019, Test Loss: 0.004339, Training time: 0.74m
Epoch 232, Loss: 0.000043, Test Loss: 0.000447, Training time: 0.74m
Epoch 233, Loss: 0.000015, Test Loss: 0.000424, Training time: 0.74m
Epoch 234, Loss: 0.000016, Test Loss: 0.000411, Training time: 0.74m
Epoch 235, Loss: 0.000013, Test Loss: 0.000463, Training time: 0.74m
Epoch 236, Loss: 0.000018, Test Loss: 0.000458, Training time: 0.74m
Epoch 237, Loss: 0.000020, Test Loss: 0.000407, Training time: 0.74m
Epoch 238, Loss: 0.000013, Test Loss: 0.000385, Training time: 0.74m
Epoch 239, Loss: 0.000014, Test Loss: 0.000402, Training time: 0.74m
Epoch 240, Loss: 0.000017, Test Loss: 0.000413, Training time: 0.74m
Epoch 241, Loss: 0.000016, Test Loss: 0.000444, Training time: 0.73m
Epoch 242, Loss: 0.000013, Test Loss: 0.000460, Training time: 0.73m
Epoch 243, Loss: 0.000015, Test Loss: 0.000517, Training time: 0.73m
Epoch 244, Loss: 0.000013, Test Loss: 0.000277, Training time: 0.73m
Epoch 245, Loss: 0.000015, Test Loss: 0.000423, Training time: 0.73m
Epoch 246, Loss: 0.000014, Test Loss: 0.000350, Training time: 0.73m
Epoch 247, Loss: 0.000013, Test Loss: 0.000423, Training time: 0.73m
Epoch 248, Loss: 0.000012, Test Loss: 0.000471, Training time: 0.73m
Epoch 249, Loss: 0.000015, Test Loss: 0.000475, Training time: 0.73m
Epoch 250, Loss: 0.000015, Test Loss: 0.000331, Training time: 0.74m
